item,description,quantity,material,stock_mm,stock_volume_cm3,finished_volume_cm3,removal_fraction,finished_mass_kg,moulding_tolerance_mm,moulding_finish_ra_um,free_tolerance_mm,model_file,drawing_file,inspection_deliverable,note
T-100,throat cup mould for CS-100,1,"aluminium 6061-T651 tooling plate, stress relieved",187 x 187 x 56,1946.4,1109.0,0.43,2.99,0.05,0.4,0.25,t100.stl,t100_sheet.svg,CMM report on every dimension classed as a moulding surface or datum; surface-finish witness on the moulding face,compensated geometry — do not work to the part drawing
T-200,boom mandrel for CS-200,1,"aluminium 6061-T651 tooling plate, stress relieved",66 x 36 x 296,703.3,449.7,0.361,1.21,0.05,0.4,0.25,t200.stl,t200_sheet.svg,CMM report on every dimension classed as a moulding surface or datum; surface-finish witness on the moulding face,compensated geometry — do not work to the part drawing
T-300,keeper tine die — cavity half for CS-400,1,"aluminium 6061-T651 tooling plate, stress relieved",85 x 66 x 34,190.6,60.6,0.682,0.16,0.05,0.4,0.25,t300.stl,t300_sheet.svg,CMM report on every dimension classed as a moulding surface or datum; surface-finish witness on the moulding face,compensated geometry — do not work to the part drawing
T-301,keeper tine die — punch half for CS-400,1,"aluminium 6061-T651 tooling plate, stress relieved",66 x 46 x 34,104.0,67.3,0.353,0.18,0.05,0.4,0.25,t301.stl,t301_sheet.svg,CMM report on every dimension classed as a moulding surface or datum; surface-finish witness on the moulding face,compensated geometry — do not work to the part drawing
